Code:	WP 300.20

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 18.11.2019	Time: 16:37:40

Name:	stress strain poly
User Comment:	

Data Start
t Time Index	l Distance	F Force	EPS Strain	R	TEST Test	
h:min:s	mm	KN	%	N/mm^2		
16:32:54.2	2.7479	1.3249	9.1597	70.6617	1.0000
16:30:38.3	2.7601	1.4208	9.2005	75.7775	1.0000
16:30:56.3	2.7601	1.0971	9.2005	58.5117	1.0000
16:32:55.2	2.7601	1.3309	9.2005	70.9814	1.0000
16:30:55.3	2.7723	1.1091	9.2412	59.1512	1.0000
16:32:56.2	2.7723	1.3369	9.2412	71.3012	1.0000
16:30:39.3	2.7846	1.4148	9.2819	75.4577	1.0000
16:30:40.3	2.7846	1.4148	9.2819	75.4577	1.0000
16:30:54.3	2.7846	1.1271	9.2819	60.1104	1.0000
16:32:57.2	2.7846	1.3489	9.2819	71.9406	1.0000
16:30:53.3	2.7968	1.1331	9.3226	60.4301	1.0000
16:30:41.3	2.8090	1.4148	9.3633	75.4577	1.0000
16:30:42.3	2.8090	1.4208	9.3633	75.7775	1.0000
16:30:51.3	2.8090	1.1750	9.3633	62.6683	1.0000
16:30:52.3	2.8090	1.1511	9.3633	61.3894	1.0000
16:32:58.2	2.8090	1.3609	9.3633	72.5801	1.0000
16:30:43.3	2.8334	1.4148	9.4447	75.4577	1.0000
16:30:44.3	2.8334	1.4208	9.4447	75.7775	1.0000
16:30:50.3	2.8334	1.2650	9.4447	67.4643	1.0000
16:32:59.2	2.8334	1.3669	9.4447	72.8999	1.0000
16:33:00.2	2.8456	1.3729	9.4854	73.2196	1.0000
16:30:45.3	2.8578	1.4268	9.5261	76.0972	1.0000
16:30:49.3	2.8578	1.3909	9.5261	74.1788	1.0000
16:33:01.2	2.8578	1.3849	9.5261	73.8591	1.0000
16:30:46.3	2.8823	1.4328	9.6076	76.4170	1.0000
16:30:47.3	2.8823	1.4328	9.6076	76.4170	1.0000
16:30:48.3	2.8823	1.4268	9.6076	76.0972	1.0000
16:33:02.2	2.8823	1.3909	9.6076	74.1788	1.0000
16:33:03.2	2.9067	1.4028	9.6890	74.8183	1.0000
16:33:04.2	2.9067	1.4028	9.6890	74.8183	1.0000
16:33:05.2	2.9433	1.4148	9.8111	75.4577	1.0000
16:33:06.2	2.9555	1.4208	9.8518	75.7775	1.0000
16:33:07.2	2.9800	1.4148	9.9332	75.4577	1.0000
16:33:08.2	3.0044	1.4268	10.0147	76.0972	1.0000
16:33:09.2	3.0044	1.4388	10.0147	76.7367	1.0000
16:33:10.2	3.0166	1.4328	10.0554	76.4170	1.0000
16:33:11.2	3.0288	1.4388	10.0961	76.7367	1.0000
16:33:12.2	3.0532	1.4568	10.1775	77.6959	1.0000
